time,temperature_2m_mean (Â°C)
2019-01-01,7.5
2019-01-02,5.7
2019-01-03,2.4
2019-01-04,1.5
2019-01-05,2.8
2019-01-06,3.7
2019-01-07,5.3
2019-01-08,7.6
2019-01-09,4.3
2019-01-10,1.7
2019-01-11,4.3
2019-01-12,6.2
2019-01-13,9.2
2019-01-14,7.8
2019-01-15,5.4
2019-01-16,4.7
2019-01-17,4.9
2019-01-18,0.3
2019-01-19,0.4
2019-01-20,2.4
2019-01-21,-1.4
2019-01-22,-0.5
2019-01-23,1.2
2019-01-24,-0.2
2019-01-25,2.6
2019-01-26,7.7
2019-01-27,6.0
2019-01-28,3.4
2019-01-29,0.5
2019-01-30,1.2
2019-01-31,-0.7
2019-02-01,4.9
2019-02-02,4.3
2019-02-03,2.8
2019-02-04,0.6
2019-02-05,3.5
2019-02-06,7.4
2019-02-07,8.8
2019-02-08,8.3
2019-02-09,9.1
2019-02-10,8.3
2019-02-11,5.3
2019-02-12,2.5
2019-02-13,3.6
2019-02-14,4.1
2019-02-15,5.5
2019-02-16,5.5
2019-02-17,6.8
2019-02-18,6.8
2019-02-19,7.9
2019-02-20,7.6
2019-02-21,7.4
2019-02-22,7.8
2019-02-23,8.5
2019-02-24,6.1
2019-02-25,7.0
2019-02-26,8.2
2019-02-27,8.7
2019-02-28,9.1
2019-03-01,10.0
2019-03-02,9.9
2019-03-03,11.8
2019-03-04,9.1
2019-03-05,7.3
2019-03-06,10.4
2019-03-07,9.4
2019-03-08,8.3
2019-03-09,10.7
2019-03-10,10.6
2019-03-11,6.3
2019-03-12,6.9
2019-03-13,7.0
2019-03-14,8.3
2019-03-15,11.3
2019-03-16,11.1
2019-03-17,7.9
2019-03-18,6.7
2019-03-19,5.5
2019-03-20,8.1
2019-03-21,9.1
2019-03-22,9.3
2019-03-23,7.9
2019-03-24,9.0
2019-03-25,6.8
2019-03-26,7.0
2019-03-27,7.8
2019-03-28,8.9
2019-03-29,10.5
2019-03-30,11.2
2019-03-31,12.3
2019-04-01,12.6
2019-04-02,11.4
2019-04-03,6.4
2019-04-04,5.5
2019-04-05,7.9
2019-04-06,10.0
2019-04-07,10.2
2019-04-08,11.3
2019-04-09,10.6
2019-04-10,9.7
2019-04-11,8.2
2019-04-12,6.8
2019-04-13,5.5
2019-04-14,4.6
2019-04-15,8.1
2019-04-16,10.3
2019-04-17,12.0
2019-04-18,15.7
2019-04-19,16.5
2019-04-20,17.2
2019-04-21,16.8
2019-04-22,16.5
2019-04-23,16.3
2019-04-24,14.4
2019-04-25,12.2
2019-04-26,11.7
2019-04-27,10.7
2019-04-28,9.1
2019-04-29,9.5
2019-04-30,11.9
2019-05-01,12.1
2019-05-02,11.6
2019-05-03,10.7
2019-05-04,7.3
2019-05-05,7.9
2019-05-06,7.8
2019-05-07,10.3
2019-05-08,13.0
2019-05-09,12.8
2019-05-10,11.4
2019-05-11,12.0
2019-05-12,9.9
2019-05-13,11.0
2019-05-14,12.0
2019-05-15,12.2
2019-05-16,12.0
2019-05-17,14.3
2019-05-18,14.3
2019-05-19,14.3
2019-05-20,13.6
2019-05-21,14.5
2019-05-22,14.9
2019-05-23,16.7
2019-05-24,16.8
2019-05-25,16.0
2019-05-26,15.2
2019-05-27,16.3
2019-05-28,13.8
2019-05-29,13.8
2019-05-30,17.1
2019-05-31,18.0
2019-06-01,20.5
2019-06-02,23.7
2019-06-03,19.3
2019-06-04,19.3
2019-06-05,14.7
2019-06-06,14.3
2019-06-07,15.0
2019-06-08,15.0
2019-06-09,15.5
2019-06-10,14.8
2019-06-11,13.0
2019-06-12,13.2
2019-06-13,14.8
2019-06-14,17.1
2019-06-15,17.6
2019-06-16,17.1
2019-06-17,19.0
2019-06-18,21.2
2019-06-19,20.3
2019-06-20,17.4
2019-06-21,16.6
2019-06-22,18.3
2019-06-23,22.1
2019-06-24,25.0
2019-06-25,26.3
2019-06-26,26.6
2019-06-27,25.6
2019-06-28,24.7
2019-06-29,26.6
2019-06-30,23.3
2019-07-01,20.2
2019-07-02,19.5
2019-07-03,20.3
2019-07-04,20.8
2019-07-05,22.6
2019-07-06,24.1
2019-07-07,21.3
2019-07-08,19.2
2019-07-09,18.5
2019-07-10,21.0
2019-07-11,22.6
2019-07-12,20.9
2019-07-13,20.2
2019-07-14,18.6
2019-07-15,18.7
2019-07-16,19.2
2019-07-17,21.6
2019-07-18,20.7
2019-07-19,21.5
2019-07-20,22.3
2019-07-21,21.8
2019-07-22,24.1
2019-07-23,28.1
2019-07-24,30.4
2019-07-25,32.9
2019-07-26,25.9
2019-07-27,19.1
2019-07-28,19.3
2019-07-29,20.7
2019-07-30,20.7
2019-07-31,19.2
2019-08-01,21.0
2019-08-02,21.5
2019-08-03,20.2
2019-08-04,22.9
2019-08-05,22.3
2019-08-06,20.4
2019-08-07,20.3
2019-08-08,22.1
2019-08-09,22.9
2019-08-10,21.4
2019-08-11,18.3
2019-08-12,17.5
2019-08-13,15.8
2019-08-14,17.8
2019-08-15,19.3
2019-08-16,19.2
2019-08-17,18.6
2019-08-18,19.4
2019-08-19,18.0
2019-08-20,17.2
2019-08-21,17.3
2019-08-22,18.9
2019-08-23,20.5
2019-08-24,22.4
2019-08-25,23.6
2019-08-26,24.8
2019-08-27,25.0
2019-08-28,23.5
2019-08-29,20.8
2019-08-30,19.8
2019-08-31,22.4
2019-09-01,18.8
2019-09-02,17.1
2019-09-03,17.6
2019-09-04,17.6
2019-09-05,15.6
2019-09-06,15.2
2019-09-07,16.4
2019-09-08,14.6
2019-09-09,13.8
2019-09-10,16.6
2019-09-11,17.4
2019-09-12,20.0
2019-09-13,18.9
2019-09-14,20.4
2019-09-15,20.2
2019-09-16,19.3
2019-09-17,18.8
2019-09-18,15.3
2019-09-19,15.4
2019-09-20,16.7
2019-09-21,20.7
2019-09-22,19.6
2019-09-23,17.2
2019-09-24,16.9
2019-09-25,16.2
2019-09-26,18.0
2019-09-27,17.4
2019-09-28,16.5
2019-09-29,16.8
2019-09-30,16.4
2019-10-01,17.4
2019-10-02,13.8
2019-10-03,9.6
2019-10-04,14.4
2019-10-05,14.9
2019-10-06,14.6
2019-10-07,14.3
2019-10-08,14.5
2019-10-09,12.8
2019-10-10,13.5
2019-10-11,14.6
2019-10-12,16.2
2019-10-13,18.9
2019-10-14,18.0
2019-10-15,14.1
2019-10-16,13.6
2019-10-17,14.7
2019-10-18,14.1
2019-10-19,13.0
2019-10-20,11.8
2019-10-21,12.5
2019-10-22,10.3
2019-10-23,13.8
2019-10-24,14.3
2019-10-25,13.0
2019-10-26,15.2
2019-10-27,11.6
2019-10-28,9.6
2019-10-29,9.1
2019-10-30,9.1
2019-10-31,10.3
2019-11-01,12.8
2019-11-02,13.7
2019-11-03,11.6
2019-11-04,11.2
2019-11-05,9.7
2019-11-06,9.1
2019-11-07,8.5
2019-11-08,6.9
2019-11-09,6.6
2019-11-10,7.1
2019-11-11,6.3
2019-11-12,6.1
2019-11-13,6.4
2019-11-14,6.3
2019-11-15,3.8
2019-11-16,5.5
2019-11-17,4.5
2019-11-18,5.2
2019-11-19,4.4
2019-11-20,2.1
2019-11-21,5.2
2019-11-22,8.3
2019-11-23,9.5
2019-11-24,8.1
2019-11-25,9.6
2019-11-26,11.2
2019-11-27,11.1
2019-11-28,10.3
2019-11-29,8.1
2019-11-30,5.3
2019-12-01,3.7
2019-12-02,2.5
2019-12-03,2.7
2019-12-04,1.0
2019-12-05,-0.9
2019-12-06,4.1
2019-12-07,9.0
2019-12-08,9.7
2019-12-09,7.3
2019-12-10,3.5
2019-12-11,7.0
2019-12-12,5.2
2019-12-13,7.2
2019-12-14,8.6
2019-12-15,9.0
2019-12-16,8.9
2019-12-17,11.3
2019-12-18,7.8
2019-12-19,11.9
2019-12-20,11.0
2019-12-21,8.5
2019-12-22,8.9
2019-12-23,8.4
2019-12-24,10.1
2019-12-25,8.7
2019-12-26,7.0
2019-12-27,9.4
2019-12-28,7.0
2019-12-29,1.9
2019-12-30,1.4
2019-12-31,0.8
2020-01-01,2.5
2020-01-02,7.2
2020-01-03,9.5
2020-01-04,5.7
2020-01-05,6.0
2020-01-06,3.8
2020-01-07,8.1
2020-01-08,11.0
2020-01-09,11.3
2020-01-10,8.2
2020-01-11,3.9
2020-01-12,5.9
2020-01-13,8.1
2020-01-14,10.1
2020-01-15,10.2
2020-01-16,8.4
2020-01-17,9.0
2020-01-18,5.0
2020-01-19,3.0
2020-01-20,2.6
2020-01-21,0.7
2020-01-22,-1.0
2020-01-23,0.6
2020-01-24,0.5
2020-01-25,2.7
2020-01-26,4.9
2020-01-27,8.4
2020-01-28,6.1
2020-01-29,6.2
2020-01-30,8.0
2020-01-31,11.5
2020-02-01,12.3
2020-02-02,12.6
2020-02-03,12.1
2020-02-04,6.9
2020-02-05,6.8
2020-02-06,3.6
2020-02-07,4.7
2020-02-08,8.3
2020-02-09,9.4
2020-02-10,9.5
2020-02-11,6.3
2020-02-12,5.7
2020-02-13,7.5
2020-02-14,9.1
2020-02-15,10.0
2020-02-16,13.5
2020-02-17,9.0
2020-02-18,7.2
2020-02-19,7.4
2020-02-20,8.7
2020-02-21,5.9
2020-02-22,7.8
2020-02-23,11.2
2020-02-24,11.0
2020-02-25,8.4
2020-02-26,4.6
2020-02-27,5.2
2020-02-28,4.8
2020-02-29,9.1
2020-03-01,6.1
2020-03-02,6.5
2020-03-03,5.2
2020-03-04,5.1
2020-03-05,9.2
2020-03-06,6.6
2020-03-07,5.6
2020-03-08,8.7
2020-03-09,7.8
2020-03-10,10.7
2020-03-11,12.8
2020-03-12,10.5
2020-03-13,7.4
2020-03-14,7.6
2020-03-15,10.1
2020-03-16,9.1
2020-03-17,10.5
2020-03-18,11.3
2020-03-19,12.7
2020-03-20,11.0
2020-03-21,7.7
2020-03-22,7.4
2020-03-23,5.9
2020-03-24,5.3
2020-03-25,5.1
2020-03-26,5.4
2020-03-27,6.9
2020-03-28,9.1
2020-03-29,5.9
2020-03-30,4.1
2020-03-31,5.7
2020-04-01,5.8
2020-04-02,5.5
2020-04-03,9.0
2020-04-04,9.8
2020-04-05,12.4
2020-04-06,12.3
2020-04-07,15.0
2020-04-08,16.1
2020-04-09,17.5
2020-04-10,16.6
2020-04-11,16.1
2020-04-12,16.4
2020-04-13,12.4
2020-04-14,7.8
2020-04-15,11.0
2020-04-16,15.3
2020-04-17,17.1
2020-04-18,16.6
2020-04-19,13.8
2020-04-20,15.9
2020-04-21,16.1
2020-04-22,16.4
2020-04-23,16.4
2020-04-24,17.8
2020-04-25,15.4
2020-04-26,13.5
2020-04-27,16.2
2020-04-28,15.1
2020-04-29,12.8
2020-04-30,11.9
2020-05-01,11.8
2020-05-02,11.0
2020-05-03,12.2
2020-05-04,14.5
2020-05-05,13.1
2020-05-06,14.6
2020-05-07,14.2
2020-05-08,16.1
2020-05-09,17.8
2020-05-10,16.7
2020-05-11,9.9
2020-05-12,9.6
2020-05-13,10.6
2020-05-14,10.5
2020-05-15,11.9
2020-05-16,12.8
2020-05-17,13.6
2020-05-18,15.2
2020-05-19,15.8
2020-05-20,19.6
2020-05-21,21.8
2020-05-22,20.7
2020-05-23,15.7
2020-05-24,14.4
2020-05-25,16.9
2020-05-26,18.7
2020-05-27,19.7
2020-05-28,18.7
2020-05-29,19.1
2020-05-30,19.0
2020-05-31,19.2
2020-06-01,20.3
2020-06-02,22.3
2020-06-03,20.5
2020-06-04,15.0
2020-06-05,13.9
2020-06-06,14.4
2020-06-07,14.1
2020-06-08,14.3
2020-06-09,13.5
2020-06-10,14.6
2020-06-11,17.0
2020-06-12,16.5
2020-06-13,17.4
2020-06-14,17.2
2020-06-15,17.5
2020-06-16,17.1
2020-06-17,16.9
2020-06-18,16.4
2020-06-19,16.6
2020-06-20,18.4
2020-06-21,17.4
2020-06-22,16.8
2020-06-23,20.9
2020-06-24,24.6
2020-06-25,26.1
2020-06-26,24.2
2020-06-27,20.7
2020-06-28,18.9
2020-06-29,17.8
2020-06-30,18.7
2020-07-01,20.2
2020-07-02,18.0
2020-07-03,17.2
2020-07-04,18.6
2020-07-05,20.4
2020-07-06,16.3
2020-07-07,17.0
2020-07-08,19.4
2020-07-09,22.7
2020-07-10,19.2
2020-07-11,17.8
2020-07-12,19.0
2020-07-13,20.6
2020-07-14,18.7
2020-07-15,18.6
2020-07-16,18.4
2020-07-17,20.5
2020-07-18,21.1
2020-07-19,22.0
2020-07-20,20.5
2020-07-21,19.7
2020-07-22,19.7
2020-07-23,20.6
2020-07-24,20.6
2020-07-25,21.3
2020-07-26,20.5
2020-07-27,22.5
2020-07-28,20.9
2020-07-29,19.2
2020-07-30,23.6
2020-07-31,28.1
2020-08-01,24.1
2020-08-02,20.8
2020-08-03,18.5
2020-08-04,19.0
2020-08-05,22.3
2020-08-06,25.4
2020-08-07,27.5
2020-08-08,29.3
2020-08-09,30.4
2020-08-10,28.4
2020-08-11,28.8
2020-08-12,27.6
2020-08-13,24.1
2020-08-14,21.9
2020-08-15,21.7
2020-08-16,21.5
2020-08-17,20.2
2020-08-18,20.9
2020-08-19,21.4
2020-08-20,24.8
2020-08-21,23.4
2020-08-22,20.9
2020-08-23,19.2
2020-08-24,17.8
2020-08-25,20.3
2020-08-26,19.9
2020-08-27,18.7
2020-08-28,18.0
2020-08-29,15.6
2020-08-30,15.5
2020-08-31,15.5
2020-09-01,15.6
2020-09-02,16.2
2020-09-03,19.8
2020-09-04,21.1
2020-09-05,17.8
2020-09-06,15.2
2020-09-07,16.0
2020-09-08,18.0
2020-09-09,20.8
2020-09-10,20.2
2020-09-11,20.7
2020-09-12,17.6
2020-09-13,19.0
2020-09-14,23.0
2020-09-15,25.3
2020-09-16,23.6
2020-09-17,21.1
2020-09-18,21.7
2020-09-19,24.0
2020-09-20,22.4
2020-09-21,19.9
2020-09-22,18.4
2020-09-23,18.8
2020-09-24,14.0
2020-09-25,11.6
2020-09-26,11.9
2020-09-27,12.3
2020-09-28,13.5
2020-09-29,15.4
2020-09-30,16.3
2020-10-01,14.8
2020-10-02,12.8
2020-10-03,11.7
2020-10-04,11.9
2020-10-05,12.1
2020-10-06,13.5
2020-10-07,13.7
2020-10-08,15.9
2020-10-09,15.2
2020-10-10,11.9
2020-10-11,10.7
2020-10-12,10.1
2020-10-13,9.9
2020-10-14,9.7
2020-10-15,9.7
2020-10-16,10.2
2020-10-17,10.1
2020-10-18,9.7
2020-10-19,10.0
2020-10-20,12.9
2020-10-21,16.2
2020-10-22,15.2
2020-10-23,14.8
2020-10-24,14.0
2020-10-25,13.0
2020-10-26,10.1
2020-10-27,10.3
2020-10-28,12.2
2020-10-29,12.5
2020-10-30,14.2
2020-10-31,12.9
2020-11-01,16.1
2020-11-02,16.6
2020-11-03,9.2
2020-11-04,6.6
2020-11-05,6.8
2020-11-06,7.3
2020-11-07,11.9
2020-11-08,13.7
2020-11-09,12.0
2020-11-10,11.5
2020-11-11,10.6
2020-11-12,11.7
2020-11-13,12.0
2020-11-14,13.0
2020-11-15,13.5
2020-11-16,11.4
2020-11-17,10.7
2020-11-18,10.6
2020-11-19,10.2
2020-11-20,5.8
2020-11-21,6.2
2020-11-22,6.3
2020-11-23,8.8
2020-11-24,7.7
2020-11-25,7.9
2020-11-26,5.0
2020-11-27,5.7
2020-11-28,5.3
2020-11-29,3.3
2020-11-30,2.0
2020-12-01,7.1
2020-12-02,6.7
2020-12-03,6.2
2020-12-04,5.3
2020-12-05,3.5
2020-12-06,3.9
2020-12-07,2.0
2020-12-08,1.4
2020-12-09,3.0
2020-12-10,4.8
2020-12-11,8.5
2020-12-12,7.9
2020-12-13,5.4
2020-12-14,10.1
2020-12-15,9.7
2020-12-16,7.7
2020-12-17,9.1
2020-12-18,7.8
2020-12-19,9.4
2020-12-20,8.0
2020-12-21,9.6
2020-12-22,13.2
2020-12-23,12.2
2020-12-24,6.8
2020-12-25,3.9
2020-12-26,3.1
2020-12-27,6.2
2020-12-28,3.9
2020-12-29,3.8
